combined,State
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",MN
"Crossing=1, Bump=1, Junction=1, Stop=1",LA
"Crossing=0, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",PA
"Crossing=1, Bump=1, Junction=1, Stop=1",TX
"Crossing=1, Bump=1, Junction=1, Stop=1",TX
"Crossing=0, Bump=1, Junction=1, Stop=1",MD
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",GA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",NC
"Crossing=1, Bump=1, Junction=0, Stop=1",GA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",AZ
"Crossing=1, Bump=1, Junction=1, Stop=1",OH
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",KS
"Crossing=1, Bump=1, Junction=0, Stop=1",TN
"Crossing=1, Bump=1, Junction=1, Stop=1",WA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",PA
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=0, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",AR
"Crossing=1, Bump=1, Junction=1, Stop=1",OH
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",IL
"Crossing=1, Bump=1, Junction=1, Stop=1",NY
"Crossing=1, Bump=1, Junction=1, Stop=1",MI
"Crossing=1, Bump=1, Junction=1, Stop=1",NY
"Crossing=1, Bump=1, Junction=1, Stop=1",MI
"Crossing=1, Bump=1, Junction=1, Stop=1",KS
"Crossing=1, Bump=1, Junction=0, Stop=1",MT
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",NV
"Crossing=1, Bump=1, Junction=1, Stop=1",CO
"Crossing=1, Bump=1, Junction=1, Stop=1",MD
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=0, Bump=1, Junction=1, Stop=1",NC
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",NY
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",OR
"Crossing=0, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",MO
"Crossing=1, Bump=1, Junction=1, Stop=1",DC
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=0",AZ
"Crossing=0, Bump=1, Junction=1, Stop=1",IL
"Crossing=1, Bump=1, Junction=1, Stop=1",KS
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",TX
"Crossing=1, Bump=1, Junction=1, Stop=1",NJ
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",MN
"Crossing=1, Bump=1, Junction=1, Stop=1",IL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",AZ
"Crossing=1, Bump=1, Junction=1, Stop=1",WY
"Crossing=1, Bump=1, Junction=1, Stop=1",ID
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=0, Bump=1, Junction=1, Stop=1",TN
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",MA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=0, Stop=1",NY
"Crossing=1, Bump=1, Junction=1, Stop=1",GA
"Crossing=1, Bump=1, Junction=1, Stop=1",TN
"Crossing=1, Bump=1, Junction=1, Stop=1",NY
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",CO
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",MD
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",MO
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",IL
"Crossing=1, Bump=1, Junction=1, Stop=1",WA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",MI
"Crossing=1, Bump=1, Junction=1, Stop=1",NJ
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",WA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CT
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",OR
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",TX
"Crossing=1, Bump=1, Junction=1, Stop=1",OR
"Crossing=0, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",OR
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=0, Stop=1",OH
"Crossing=0, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",MO
"Crossing=0, Bump=1, Junction=1, Stop=1",OR
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",NY
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",GA
"Crossing=1, Bump=1, Junction=1, Stop=1",TX
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",DC
"Crossing=1, Bump=1, Junction=1, Stop=1",IN
"Crossing=1, Bump=1, Junction=0, Stop=1",FL
"Crossing=0, Bump=1, Junction=1, Stop=1",TX
"Crossing=1, Bump=1, Junction=1, Stop=1",MD
"Crossing=1, Bump=1, Junction=0, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",PA
"Crossing=1, Bump=1, Junction=1, Stop=1",TX
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",AL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",MD
"Crossing=1, Bump=1, Junction=0, Stop=1",TX
"Crossing=1, Bump=1, Junction=1, Stop=1",PA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",TN
"Crossing=1, Bump=1, Junction=1, Stop=1",GA
"Crossing=1, Bump=1, Junction=1, Stop=1",PA
"Crossing=0, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",WI
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",GA
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=0, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",NC
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",PA
"Crossing=1, Bump=1, Junction=1, Stop=1",UT
"Crossing=1, Bump=1, Junction=0, Stop=1",MN
"Crossing=1, Bump=1, Junction=1, Stop=1",CT
"Crossing=1, Bump=1, Junction=0, Stop=1",PA
"Crossing=1, Bump=1, Junction=1, Stop=1",LA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",NC
"Crossing=1, Bump=1, Junction=0, Stop=1",MO
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",PA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",VA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CT
"Crossing=1, Bump=1, Junction=1, Stop=1",LA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",NY
"Crossing=1, Bump=1, Junction=1, Stop=1",MO
"Crossing=1, Bump=1, Junction=1, Stop=1",IA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",MO
"Crossing=1, Bump=1, Junction=1, Stop=1",AL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=0, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",FL
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
"Crossing=1, Bump=1, Junction=1, Stop=1",AL
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",CA
"Crossing=0, Bump=1, Junction=1, Stop=1",CA
"Crossing=1, Bump=1, Junction=1, Stop=1",TX
"Crossing=0, Bump=1, Junction=1, Stop=1",NY
"Crossing=1, Bump=1, Junction=1, Stop=1",NC
"Crossing=1, Bump=1, Junction=1, Stop=1",MN
"Crossing=1, Bump=1, Junction=1, Stop=1",SC
